"","ypchtotcor","v13","v29","p6"
"836",285310,1,NA,3
"837",285310,1,NA,3
"838",445000,1,NA,3
"839",445000,1,NA,3
"840",445000,1,NA,3
"841",690000,3,NA,1
"842",345335,1,NA,2
"843",345335,1,NA,2
"844",307460,3,NA,2
"845",307460,3,NA,2
"846",718667,3,NA,3
"847",718667,3,NA,3
"848",718667,3,NA,3
"849",265928,1,NA,4
"850",265928,1,NA,4
"851",265928,1,NA,4
"852",265928,1,NA,4
"853",211250,11,NA,2
"854",211250,11,NA,2
"855",428187,3,NA,2
"856",428187,3,NA,2
"857",245687,1,NA,2
"858",245687,1,NA,2
"859",244859,2,NA,4
"860",244859,2,NA,4
"861",244859,2,NA,4
"862",244859,2,NA,4
"863",673333,1,NA,3
"864",673333,1,NA,3
"865",673333,1,NA,3
"866",290945,2,NA,4
"867",290945,2,NA,4
"868",290945,2,NA,4
"869",290945,2,NA,4
"870",758750,2,NA,2
"871",758750,2,NA,2
"872",250469,9,NA,3
"873",250469,9,NA,3
"874",250469,9,NA,3
"875",470000,9,NA,4
"876",470000,9,NA,4
"877",470000,9,NA,4
"878",470000,9,NA,4
"879",500729,1,NA,4
"880",500729,1,NA,4
"881",500729,1,NA,4
"882",500729,1,NA,4
"883",1818240,1,NA,2
"884",1818240,1,NA,2
"885",437500,1,NA,4
"886",437500,1,NA,4
"887",437500,1,NA,4
"888",437500,1,NA,4
"889",184333,2,NA,5
"890",184333,2,NA,5
"891",184333,2,NA,5
"892",184333,2,NA,5
"893",184333,2,NA,5
"894",328892,2,NA,3
"895",328892,2,NA,3
"896",328892,2,NA,3
"897",250250,2,NA,2
"898",250250,2,NA,2
"899",875333,1,NA,5
"900",875333,1,NA,5
"901",875333,1,NA,5
"902",875333,1,NA,5
"903",875333,1,NA,5
"904",765000,1,2,4
"905",765000,1,2,4
"906",1500000,2,NA,3
"907",1500000,2,NA,3
"908",1500000,2,NA,3
"909",1514444,1,NA,3
"910",1514444,1,NA,3
"911",1514444,1,NA,3
"912",867917,1,NA,4
"913",867917,1,NA,4
"914",867917,1,NA,4
"915",867917,1,NA,4
"916",526250,1,NA,4
"917",526250,1,NA,4
"918",526250,1,NA,4
"919",526250,1,NA,4
"920",705209,2,NA,4
"921",705209,2,NA,4
"922",705209,2,NA,4
"923",705209,2,NA,4
"924",225208,2,NA,4
"925",225208,2,NA,4
"926",225208,2,NA,4
"927",225208,2,NA,4
"928",954000,1,NA,2
"929",954000,1,NA,2
"930",250000,2,NA,4
"931",250000,2,NA,4
"932",250000,2,NA,4
"933",250000,2,NA,4
"934",1058334,1,NA,2
"935",1058334,1,NA,2
"936",187767,2,NA,5
"937",187767,2,NA,5
"938",187767,2,NA,5
"939",187767,2,NA,5
"940",187767,2,NA,5
"941",170000,2,NA,5
"942",170000,2,NA,5
"943",170000,2,NA,5
"944",170000,2,NA,5
"945",170000,2,NA,5
"946",756250,2,NA,4
"947",756250,2,NA,4
"948",756250,2,NA,4
"949",756250,2,NA,4
"950",275000,3,NA,4
