"","ypchtotcor","v13","v29","p6"
"684",221667,2,2,4
"685",221667,2,2,4
"686",221667,2,2,4
"687",1300000,1,2,4
"688",288323,1,3,4
"689",288323,1,3,4
"690",288323,1,3,4
"691",177359,1,1,10
"692",177359,1,1,10
"693",177359,1,1,10
"694",177359,1,1,10
"695",375000,9,3,12
"696",375000,9,3,12
"697",375000,9,3,12
"698",466151,9,3,4
"699",466151,9,3,4
"700",130598,2,2,5
"701",130598,2,2,5
"702",130598,2,2,5
"703",322917,3,1,9
"704",322917,3,1,9
"705",415201,3,1,8
"706",415201,3,1,8
"707",415201,3,1,8
"708",246843,1,5,12
"709",246843,1,5,12
"710",246843,1,5,12
"711",246843,1,5,12
"712",246843,1,5,12
"713",246843,1,5,12
"714",246843,1,5,12
"715",248062,9,99,12
"716",248062,9,99,12
"717",260000,9,3,4
"718",260000,9,3,4
"719",139000,1,2,4
"720",139000,1,2,4
"721",157522,1,2,11
"722",157522,1,2,11
"723",157522,1,2,11
"724",3449327,1,3,8
"725",3449327,1,3,8
"726",3449327,1,3,8
"727",465947,1,3,6
"728",465947,1,3,6
"729",465947,1,3,6
"730",534375,9,1,5
"731",534375,9,1,5
"732",510833,3,4,6
"733",622500,1,1,7
"734",622500,1,1,7
"735",255781,1,99,7
"736",255781,1,99,7
"737",255781,1,99,7
"738",255781,1,99,7
"739",255781,1,99,7
"740",315260,1,2,4
"741",315260,1,2,4
"742",315260,1,2,4
"743",359708,3,3,8
"744",359708,3,3,8
"745",359708,3,3,8
"746",359708,3,3,8
"747",197587,3,3,7
"748",197587,3,3,7
"749",197587,3,3,7
"750",197587,3,3,7
"751",197587,3,3,7
"752",450028,1,99,7
"753",450028,1,99,7
"754",227251,1,2,5
"755",227251,1,2,5
"756",227251,1,2,5
"757",124373,2,2,7
"758",124373,2,2,7
"759",124373,2,2,7
"760",90625,2,99,7
"761",90625,2,99,7
"762",90625,2,99,7
"763",90625,2,99,7
"764",550000,1,2,8
"765",550000,1,2,8
"766",87500,2,3,2
"767",6e+05,1,1,5
"768",180749,3,3,4
"769",180749,3,3,4
"770",180749,3,3,4
"771",461268,2,1,4
"772",160417,2,2,11
"773",160417,2,2,11
"774",160417,2,2,11
"775",160417,2,2,11
"776",164601,2,1,4
"777",6e+05,1,1,2
"778",1700000,3,3,5
"779",126979,2,99,5
"780",126979,2,99,5
"781",126979,2,99,5
"782",126979,2,99,5
"783",182028,2,1,6
"784",182028,2,1,6
"785",336908,1,2,9
"786",336908,1,2,9
"787",336908,1,2,9
"788",370000,3,3,9
"789",370000,3,3,9
"790",370000,3,3,9
"791",370000,3,3,9
"792",370000,3,3,9
"793",244842,9,2,8
"794",244842,9,2,8
"795",244842,9,2,8
"796",244842,9,2,8
"797",964167,1,1,3
"798",301667,2,1,3
"799",1010341,2,6,11
"800",1010341,2,6,11
"801",1010341,2,6,11
"802",1010341,2,6,11
"803",1010341,2,6,11
"804",1010341,2,6,11
"805",1010341,2,6,11
"806",211250,2,99,11
"807",211250,2,99,11
"808",211250,2,99,11
"809",211250,2,99,11
"810",4e+05,1,4,6
"811",556268,1,3,4
"812",131385,3,2,9
"813",131385,3,2,9
"814",131385,3,2,9
"815",131385,3,2,9
"816",131385,3,2,9
"817",131385,3,2,9
"818",147222,3,99,9
"819",147222,3,99,9
"820",147222,3,99,9
"821",181250,1,2,5
"822",181250,1,2,5
"823",181250,1,2,5
"824",181250,1,2,5
"825",133333,2,1,8
"826",133333,2,1,8
"827",133333,2,1,8
"828",326688,1,3,12
"829",326688,1,3,12
"830",326688,1,3,12
"831",326688,1,3,12
"832",64445,3,2,4
"833",64445,3,2,4
"834",64445,3,2,4
"835",1065401,3,2,4
"836",1065401,3,2,4
"837",1065401,3,2,4
"838",434680,1,3,5
"839",434680,1,3,5
"840",237750,3,2,5
"841",237750,3,2,5
"842",237750,3,2,5
"843",237750,3,2,5
"844",540000,3,99,5
"845",248088,1,3,9
"846",248088,1,3,9
"847",248088,1,3,9
"848",248088,1,3,9
"849",248088,1,3,9
"850",248088,1,3,9
"851",321701,3,99,9
"852",321701,3,99,9
"853",321701,3,99,9
"854",8e+05,2,1,4
"855",345829,3,1,3
"856",345829,3,1,3
"857",755102,1,3,4
"858",755102,1,3,4
"859",755102,1,3,4
"860",1144167,3,1,4
"861",84167,10,3,5
"862",84167,10,3,5
"863",245791,3,99,5
"864",245791,3,99,5
"865",245791,3,99,5
"866",150000,2,1,4
"867",150000,2,1,4
"868",165089,3,2,9
"869",165089,3,2,9
"870",165089,3,2,9
"871",165089,3,2,9
"872",149216,1,1,4
"873",149216,1,1,4
"874",149216,1,1,4
"875",348229,3,2,9
"876",348229,3,2,9
"877",348229,3,2,9
"878",348229,3,2,9
"879",303289,3,2,5
"880",303289,3,2,5
"881",303289,3,2,5
"882",182251,1,3,4
"883",182251,1,3,4
"884",182251,1,3,4
"885",176875,2,1,10
"886",176875,2,1,10
"887",176875,2,1,10
"888",176875,2,1,10
"889",346767,1,1,4
"890",346767,1,1,4
"891",302845,1,2,5
"892",302845,1,2,5
"893",302845,1,2,5
"894",60566,2,99,5
"895",60566,2,99,5
"896",482201,1,1,4
"897",282851,1,1,3
"898",282851,1,1,3
"899",275000,1,3,6
"900",275000,1,3,6
"901",275000,1,3,6
"902",275000,1,3,6
"903",235000,3,99,6
"904",235000,3,99,6
"905",4e+05,1,1,2
"906",104167,2,1,5
"907",104167,2,1,5
"908",153333,2,1,4
"909",420000,1,2,3
"910",420000,1,2,3
"911",152148,3,2,6
"912",152148,3,2,6
"913",152148,3,2,6
